============================================ prepare_Object
79226537
object read {'loc': [108.35219513299103, -75.6320968276887], 'ra': 288.352195132991, 'decl': -75.6320968276887}
object read {'loc': [102.65466434176199, -76.4985871802787], 'ra': 282.654664341762, 'decl': -76.4985871802787}
object read {'loc': [103.03149205722502, -76.2523775278297], 'ra': 283.031492057225, 'decl': -76.2523775278297}
object read {'loc': [107.26037397158302, -75.3898736200513], 'ra': 287.260373971583, 'decl': -75.3898736200513}
object read {'loc': [108.88861549891698, -76.1913037556301], 'ra': 288.888615498917, 'decl': -76.1913037556301}
object read {'loc': [103.182921789538, -76.4961404214686], 'ra': 283.182921789538, 'decl': -76.4961404214686}
object read {'loc': [107.527247278125, -76.7201724374159], 'ra': 287.527247278125, 'decl': -76.7201724374159}
object read {'loc': [106.11836480940701, -76.0963825080547], 'ra': 286.118364809407, 'decl': -76.0963825080547}
object read {'loc': [107.63634901383602, -76.7780256919163], 'ra': 287.636349013836, 'decl': -76.7780256919163}
object read {'loc': [107.14076731667399, -76.4508291282351], 'ra': 287.140767316674, 'decl': -76.4508291282351}
object read {'loc': [111.03128671007102, -76.9291218636247], 'ra': 291.031286710071, 'decl': -76.9291218636247}
object read {'loc': [108.36072410163302, -77.1006650198043], 'ra': 288.360724101633, 'decl': -77.1006650198043}
object read {'loc': [104.69865297594498, -76.2726366334057], 'ra': 284.698652975945, 'decl': -76.2726366334057}
object read {'loc': [103.41655797919799, -75.8129793167841], 'ra': 283.416557979198, 'decl': -75.8129793167841}
object read {'loc': [103.117513142571, -75.659433343622], 'ra': 283.117513142571, 'decl': -75.659433343622}
object read {'loc': [106.78087552053597, -75.7361683123367], 'ra': 286.780875520536, 'decl': -75.7361683123367}
object read {'loc': [104.546966209745, -76.3020714746731], 'ra': 284.546966209745, 'decl': -76.3020714746731}
object read {'loc': [106.51580688734202, -76.4749057784547], 'ra': 286.515806887342, 'decl': -76.4749057784547}
